Score	q-val	Members
1.0	1.1161576354679803	ERN2	TP53
1.0	1.110686274509804	NKIRAS2	TP53
1.0	1.105268292682927	SMARCAD1	COL18A1
1.0	1.0999029126213593	PRKDC	TP53
1.0	1.0945893719806763	EHBP1L1	KRAS
1.0	1.0893269230769231	SMUG1	XRCC4
1.0	1.0841148325358851	SEC16A	TP53
1.0	1.078952380952381	PRDM10	TP53
1.0	1.0738388625592417	CAMK2D	KRAS
1.0	1.0687735849056605	CHD1	FBXW7
1.0	1.063755868544601	TNRC6B	TP53
1.0	1.0587850467289721	NSUN2	KRAS
1.0	1.053860465116279	APC	CDH11
1.0	1.0489814814814815	TCIRG1	TP53
1.0	1.044147465437788	ALPK1	KRAS
1.0	1.0393577981651376	PTPRD	TP53
1.0	1.0346118721461188	PRR5L	KRAS
1.0	1.0299090909090909	SMC2	CDH11
1.0	1.0252488687782806	CADPS	APOE
1.0	1.0206306306306308	RNF43	KRAS
1.0	1.0160538116591928	ACE2	TP53
1.0	1.0115178571428571	JAK1	TP53
