Score	q-val	Members
1.0	1.1097881355932204	EHBP1L1	KRAS
1.0	1.1051054852320676	SMUG1	XRCC4
1.0	1.1004621848739498	CHD9	TP53
1.0	1.0958577405857741	TNRC6C	KRAS
1.0	1.0912916666666668	SEC16A	TP53
1.0	1.0867634854771786	PRDM10	TP53
1.0	1.0822727272727273	CAMK2D	KRAS
1.0	1.0778189300411523	CHD1	FBXW7
1.0	1.0734016393442625	ODF2	TP53
1.0	1.0690204081632655	TNRC6B	APC
1.0	1.0646747967479675	NSUN2	KRAS
1.0	1.0603643724696357	APC	CDH11
1.0	1.0560887096774194	TCIRG1	TP53
1.0	1.051847389558233	ALPK1	KRAS
1.0	1.0476400000000001	PTPRD	TP53
1.0	1.0434661354581674	PRR5L	KRAS
1.0	1.0393253968253968	SMC2	CDH11
1.0	1.0352173913043479	CADPS	FYN
1.0	1.0311417322834646	RNF43	KRAS
1.0	1.0270980392156863	SYDE2	TP53
1.0	1.0230859375	ACE2	TP53
1.0	1.0191050583657588	JAK1	TP53
1.0	1.01515503875969	SH3BP1	TP53
